Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
81,292,292,84,1.0,5.405053565683171,5.142872726975217,110,48,124,10,0.5339805825242718,0.5052631578947369,0.512396694214876,0.5263157894736842
82,292,292,69,1.0,5.291576706447821,5.0697948258200585,112,43,127,10,0.5283018867924528,0.5972222222222222,0.48846153846153845,0.5555555555555556
83,292,292,81,1.0,5.518236435943676,5.199572012237982,110,48,127,7,0.5092592592592593,0.4948453608247423,0.5404255319148936,0.5
84,292,292,75,1.0,5.616757751672863,5.190461612186633,106,50,128,8,0.53,0.5434782608695652,0.5140562248995983,0.38095238095238093
85,292,292,83,1.0,5.646516972311143,5.339710372490227,106,43,131,12,0.5196078431372549,0.45263157894736844,0.5413223140495868,0.5714285714285714
86,292,292,66,1.0,5.534927152528636,5.220755782602608,117,47,117,11,0.5223214285714286,0.5053763440860215,0.5154185022026432,0.6111111111111112
87,292,292,64,1.0,5.670731418607878,5.229931651363347,110,48,124,10,0.5472636815920398,0.4948453608247423,0.5040650406504065,0.5555555555555556
88,292,292,87,1.0,5.478461080855921,5.1638737494892855,112,36,131,13,0.5463414634146342,0.4444444444444444,0.5137254901960784,0.6190476190476191
89,292,292,74,1.0,5.550001049560294,5.190333870322853,115,49,119,9,0.5324074074074074,0.5384615384615384,0.5063829787234042,0.45
90,292,292,70,1.0,5.465769423796449,5.3145657947121805,110,41,129,12,0.5339805825242718,0.4880952380952381,0.5222672064777328,0.48
91,292,292,75,1.0,5.425418788552421,5.19602075605245,112,44,123,13,0.5283018867924528,0.5,0.5168067226890757,0.5416666666666666
92,292,292,66,1.0,5.345713087404788,5.268668748215798,116,45,123,8,0.5321100917431193,0.4838709677419355,0.5234042553191489,0.5
93,292,292,65,1.0,5.4289936570076325,5.124919240905393,108,51,122,11,0.5217391304347826,0.5368421052631579,0.5147679324894515,0.4782608695652174
94,292,292,81,1.0,5.477206732790467,5.2335646644225635,95,54,135,8,0.4797979797979798,0.5510204081632653,0.5378486055776892,0.5333333333333333
95,292,292,61,1.0,5.347521185239354,5.222812304000464,104,51,128,9,0.5252525252525253,0.5730337078651685,0.5019607843137255,0.45
96,292,292,87,1.0,5.322908115099656,5.0167600868210735,108,40,132,12,0.542713567839196,0.4878048780487805,0.5116279069767442,0.5217391304347826
97,292,292,74,1.0,5.455970983190577,5.235056803745139,110,50,121,11,0.5365853658536586,0.5494505494505495,0.484,0.6875
98,292,292,67,1.0,5.701246387154672,5.278944094229738,107,61,111,13,0.5404040404040404,0.5446428571428571,0.47639484978540775,0.6842105263157895
99,292,292,68,1.0,5.354728189212713,5.2571378975581595,103,46,133,10,0.5099009900990099,0.5168539325842697,0.532,0.47619047619047616
100,292,292,80,1.0,5.346328723500159,5.186389379228552,113,51,120,8,0.5621890547263682,0.5483870967741935,0.4743083003952569,0.5333333333333333
